# 日期缓存（由 fetch.py 自动维护，请勿手动编辑）
# video_id	epoch_ms	precision	source	最近确认时间(UTC)
# precision=absent 表示该视频经查无存档快照，下轮不再重复查询
# probe_blocked_until=2026-09-29（单视频接口此前整体被风控，到期前不再探测）
5OjQTg4kxCM	1737121314000	exact	rss	2026-09-15 20:40:47
9cYNHOCWr0g	1650844800000	day_official	wayback	2026-09-15 20:40:47
BWtLivzqNZw	1742601600000	day_official	wayback	2026-09-15 20:40:47
CjPXXwv9_W0	1741132800000	day_official	wayback	2026-09-15 20:40:47
Ekbqix9fKXQ	1665964800000	day_official	wayback	2026-09-15 20:40:47
MrFGpTwsvGQ	1733839088000	exact	rss	2026-09-15 20:40:47
YdGalCuJ96Q	1723852800000	day_official	wayback	2026-09-15 20:40:47
_RSwYif_w9M	1721260800000	day_official	wayback	2026-09-15 20:40:47
c6hZi6UonAE	1661558400000	day_official	wayback	2026-09-15 20:40:47
gaEce1aiNNE	1741562338000	exact	rss	2026-09-15 20:40:47
i43mLFsw6SM	1729163005000	exact	rss	2026-09-15 20:40:47
iTlRvQuIyqE	1682553600000	day_official	wayback	2026-09-15 20:40:47
iyi8Qimu3mc	1673136000000	day_official	wayback	2026-09-15 20:40:47
oOJpiSQJZX4	1773583438000	exact	rss	2026-09-15 20:40:47
osKdtwdBOHc	1679875200000	day_official	wayback	2026-09-15 20:40:47
qhHSGibB_ak	1659830400000	day_official	wayback	2026-09-15 20:40:47
qrl25b2dGSE	1730766801000	exact	rss	2026-09-15 20:40:47
rmV3yjmIDV8	1738174882000	exact	rss	2026-09-15 20:40:47
tGWzpt3X9kk	1677628800000	day_official	wayback	2026-09-15 20:40:47
tqbkJHRpiWQ	1711670400000	day_official	wayback	2026-09-15 20:40:47
umNovJr8EdA	1713571200000	day_official	wayback	2026-09-15 20:40:47
zBCY6kYptJc	1718928000000	day_official	wayback	2026-09-15 20:40:47
zjp1aR6dSh4	1684713600000	day_official	wayback	2026-09-15 20:40:47
1CqEpWVo8lY	0	absent	wayback	2026-09-15 20:40:47
1jxVaOY89qc	0	absent	wayback	2026-09-15 20:40:47
2hWMzfIw8GQ	0	absent	wayback	2026-09-15 20:40:47
2jLKXBiQqjg	0	absent	wayback	2026-09-15 20:40:47
3l3NKHossKM	0	absent	wayback	2026-09-15 20:40:47
3qmPZ0dlLEo	0	absent	wayback	2026-09-15 20:40:47
5NGITGvFp4c	0	absent	wayback	2026-09-15 20:40:47
6KApRHYuE6k	0	absent	wayback	2026-09-15 20:40:47
7YM-z7c8p5c	0	absent	wayback	2026-09-15 20:40:47
9EV8Rx9gwwY	0	absent	wayback	2026-09-15 20:40:47
CQzNB6TDNxk	0	absent	wayback	2026-09-15 20:40:47
CrktwGCxRPw	0	absent	wayback	2026-09-15 20:40:47
HbBrozOWySE	0	absent	wayback	2026-09-15 20:40:47
Jhan52QwiaI	0	absent	wayback	2026-09-15 20:40:47
KAe6yh_f1RI	0	absent	wayback	2026-09-15 20:40:47
O74Qh8x8EUc	0	absent	wayback	2026-09-15 20:40:47
QkOQWmv-7tY	0	absent	wayback	2026-09-15 20:40:47
RT8FXzrS_24	0	absent	wayback	2026-09-15 20:40:47
RwQiHgWBvHA	0	absent	wayback	2026-09-15 20:40:47
SfbrHPG73g4	0	absent	wayback	2026-09-15 20:40:47
TYXsnJUa-FE	0	absent	wayback	2026-09-15 20:40:47
UuqkLIFbbEw	0	absent	wayback	2026-09-15 20:40:47
V9GjwkHCeNA	0	absent	wayback	2026-09-15 20:40:47
VB0bn2FvObc	0	absent	wayback	2026-09-15 20:40:47
Va07TTf3qKc	0	absent	wayback	2026-09-15 20:40:47
Vs3mIVvR6zc	0	absent	wayback	2026-09-15 20:40:47
VuvNHydHKZk	0	absent	wayback	2026-09-15 20:40:47
W2ZACF5VPzc	0	absent	wayback	2026-09-15 20:40:47
W78EmvZzWNg	0	absent	wayback	2026-09-15 20:40:47
WcyTdXxQxBM	0	absent	wayback	2026-09-15 20:40:47
XZnSNXy-Yks	0	absent	wayback	2026-09-15 20:40:47
Z-vCB_SxBms	0	absent	wayback	2026-09-15 20:40:47
ZtkyQTGuRIA	0	absent	wayback	2026-09-15 20:40:47
_2FNaCZldE4	0	absent	wayback	2026-09-15 20:40:47
aIUew0qor2M	0	absent	wayback	2026-09-15 20:40:47
aPR6_ZnML9o	0	absent	wayback	2026-09-15 20:40:47
aUvt0VNxH38	0	absent	wayback	2026-09-15 20:40:47
bTJ4BRPw8Ik	0	absent	wayback	2026-09-15 20:40:47
bl7K3lRPLYo	0	absent	wayback	2026-09-15 20:40:47
cGU8sJY5LOY	0	absent	wayback	2026-09-15 20:40:47
cbCbq2OIyPA	0	absent	wayback	2026-09-15 20:40:47
fVxA8SiE9ZU	0	absent	wayback	2026-09-15 20:40:47
i3GRc2wcS1o	0	absent	wayback	2026-09-15 20:40:47
