# 日期缓存（由 fetch.py 自动维护，请勿手动编辑）
# video_id	epoch_ms	precision	source	最近确认时间(UTC)
# precision=absent 表示该视频经查无存档快照，下轮不再重复查询
0e8CMbHfLxM	1528588800000	day_official	wayback	2026-09-15 19:54:23
0msK5m7rbQE	1752600415000	exact	rss	2026-09-15 19:54:23
2VV9m_S410I	1771611283000	exact	rss	2026-09-15 19:54:23
3Kv82RM2tic	1753981228000	exact	rss	2026-09-15 19:54:23
5OcnO7U0VeA	1787157262000	exact	rss	2026-09-15 19:54:23
67kyi5hLnA4	1535673600000	day_official	wayback	2026-09-15 19:54:23
BtnCynfmBnc	1527465600000	day_official	wayback	2026-09-15 19:54:23
GmwaJnj6pfY	1761261107000	exact	rss	2026-09-15 19:54:23
ID-K64Jk6JM	1785954510000	exact	rss	2026-09-15 19:54:23
RGG2GNvpwA4	1537660800000	day_official	wayback	2026-09-15 19:54:23
tERigvFwLrM	1755191372000	exact	rss	2026-09-15 19:54:23
-_qpzFlpgpo	0	absent	wayback	2026-09-15 19:54:23
1B3Xi5L6siI	0	absent	wayback	2026-09-15 19:54:23
1ueSa6-UqYo	0	absent	wayback	2026-09-15 19:54:23
2BZGjycR7YM	0	absent	wayback	2026-09-15 19:54:23
37Kn-kIsVu8	0	absent	wayback	2026-09-15 19:54:23
6L8yUY-doNc	0	absent	wayback	2026-09-15 19:54:23
8GVSuKkuLzY	0	absent	wayback	2026-09-15 19:54:23
BqLH-nTZEOc	0	absent	wayback	2026-09-15 19:54:23
CglNRNrMFGM	0	absent	wayback	2026-09-15 19:54:23
Hp9PIXOYaEA	0	absent	wayback	2026-09-15 19:54:23
LL3kVtc-4vY	0	absent	wayback	2026-09-15 19:54:23
LmAG8-V_WQY	0	absent	wayback	2026-09-15 19:54:23
NIVkBs7oWDI	0	absent	wayback	2026-09-15 19:54:23
OfI-XpYAqM0	0	absent	wayback	2026-09-15 19:54:23
OszX18NLtrY	0	absent	wayback	2026-09-15 19:54:23
QzP3vx8XadU	0	absent	wayback	2026-09-15 19:54:23
RGw6fXprV9U	0	absent	wayback	2026-09-15 19:54:23
RS7gyZJg5nc	0	absent	wayback	2026-09-15 19:54:23
SIfIZqXaR0g	0	absent	wayback	2026-09-15 19:54:23
SoOyaDWIoMA	0	absent	wayback	2026-09-15 19:54:23
WYagO-nup6c	0	absent	wayback	2026-09-15 19:54:23
Y0HfmYBlF8g	0	absent	wayback	2026-09-15 19:54:23
Y8qEA291Fws	0	absent	wayback	2026-09-15 19:54:23
YfjoU1_9GQ8	0	absent	wayback	2026-09-15 19:54:23
_M_Yhlh2PTo	0	absent	wayback	2026-09-15 19:54:23
b5aUF8aaFg8	0	absent	wayback	2026-09-15 19:54:23
d6Pcp944sRI	0	absent	wayback	2026-09-15 19:54:23
hYqn8CO2P3E	0	absent	wayback	2026-09-15 19:54:23
jLX1-tNnvEo	0	absent	wayback	2026-09-15 19:54:23
l0u8Vtf2GoQ	0	absent	wayback	2026-09-15 19:54:23
n0wvDwSnzcw	0	absent	wayback	2026-09-15 19:54:23
oY8tz1paj6o	0	absent	wayback	2026-09-15 19:54:23
saANxD0cqy0	0	absent	wayback	2026-09-15 19:54:23
uLAeHVRxhAU	0	absent	wayback	2026-09-15 19:54:23
uUU3jW7Y9Ak	0	absent	wayback	2026-09-15 19:54:23
v-mWK_kcZMs	0	absent	wayback	2026-09-15 19:54:23
vHuFizITMdA	0	absent	wayback	2026-09-15 19:54:23
x1H-323d838	0	absent	wayback	2026-09-15 19:54:23
xLftqtsiFBs	0	absent	wayback	2026-09-15 19:54:23
zFZ5jQ0yuNA	0	absent	wayback	2026-09-15 19:54:23
zMaTrgUKC1w	0	absent	wayback	2026-09-15 19:54:23
