# 日期缓存（由 fetch.py 自动维护，请勿手动编辑）
# video_id	epoch_ms	precision	source	最近确认时间(UTC)
# precision=absent 表示该视频经查无存档快照，下轮不再重复查询
Gzz971D3I9c	1722725347000	exact	rss	2026-09-15 19:46:50
JNxQq3KFEM4	1735055086000	exact	rss	2026-09-15 19:46:50
XjJky99_Gpk	1709910850000	exact	rss	2026-09-15 19:46:50
f7nHndmbl10	1719674125000	exact	rss	2026-09-15 19:46:50
hUyJ6CibhSg	1714834636000	exact	rss	2026-09-15 19:46:50
iDlFEV8bT3c	1719074549000	exact	rss	2026-09-15 19:46:50
wB2zzm8VP9Y	1713675617000	exact	rss	2026-09-15 19:46:50
0-jJ5QF-EVE	0	absent	wayback	2026-09-15 19:46:50
0Gb9rM9BJ8I	0	absent	wayback	2026-09-15 19:46:50
1GosyO-W-1o	0	absent	wayback	2026-09-15 19:46:50
1x8oXCBjHFY	0	absent	wayback	2026-09-15 19:46:50
227KdtAK1yU	0	absent	wayback	2026-09-15 19:46:50
2AFKlLSwUZ4	0	absent	wayback	2026-09-15 19:46:50
2S5HcClXRKs	0	absent	wayback	2026-09-15 19:46:50
3YwnlYl0VxA	0	absent	wayback	2026-09-15 19:46:50
3blWSH7dcE0	0	absent	wayback	2026-09-15 19:46:50
4ei_xUIhRas	0	absent	wayback	2026-09-15 19:46:50
88gbfCnrV8o	0	absent	wayback	2026-09-15 19:46:50
8K3sgyAN_9g	0	absent	wayback	2026-09-15 19:46:50
9E3D9BsQMx8	0	absent	wayback	2026-09-15 19:46:50
9RlhPtx38fw	0	absent	wayback	2026-09-15 19:46:50
AcoTp2IUWMc	0	absent	wayback	2026-09-15 19:46:50
BsNoiFj3wlw	0	absent	wayback	2026-09-15 19:46:50
CaILZeW2fJA	0	absent	wayback	2026-09-15 19:46:50
CqzrTxshOXM	0	absent	wayback	2026-09-15 19:46:50
D4vDwQ4TyIc	0	absent	wayback	2026-09-15 19:46:50
D8Bunxe39wY	0	absent	wayback	2026-09-15 19:46:50
EEXqjJd0Bak	0	absent	wayback	2026-09-15 19:46:50
EFQWD7-DCPI	0	absent	wayback	2026-09-15 19:46:50
